id,name,category,district,address,has_address,business_status,lat,lng,opening_hours,hours_source,link_by_name,link_by_coord,osm_link,coord_dung,hours_dung,ghi_chu
node/4486828192,Cà Phê Dinh 13,cafe,,13 Phố Đinh Tiên Hoàng,Y,,21.0319988,105.8523858,Mo-Su 07:00-22:00,osm,https://www.google.com/maps/search/?api=1&query=13%20Ph%E1%BB%91%20%C4%90inh%20Ti%C3%AAn%20Ho%C3%A0ng%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0319988,105.8523858",https://www.openstreetmap.org/node/4486828192,Y,Y,
node/7333832605,Quỳnh Quán,food,Hoàng Mai,Ki ốt 02 D Vinaconex 2 Nghiêm Xuân Yêm,Y,,20.9735521,105.8202606,Mo-Su 07:00-22:00,osm,https://www.google.com/maps/search/?api=1&query=Ki%20%E1%BB%91t%2002%20D%20Vinaconex%202%20Nghi%C3%AAm%20Xu%C3%A2n%20Y%C3%AAm%2C%20Ho%C3%A0ng%20Mai%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=20.9735521,105.8202606",https://www.openstreetmap.org/node/7333832605,Y,Y,
node/11726901669,Bún cá Hương Thủy,food,Phường Ba Đình,14 Phố Nguyễn Trung Trực,Y,,21.0410628,105.8483682,Mo-Su 17:30-13:30,osm,https://www.google.com/maps/search/?api=1&query=14%20Ph%E1%BB%91%20Nguy%E1%BB%85n%20Trung%20Tr%E1%BB%B1c%2C%20Ph%C6%B0%E1%BB%9Dng%20Ba%20%C4%90%C3%ACnh%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0410628,105.8483682",https://www.openstreetmap.org/node/11726901669,Y,N,
node/5485766230,Nhà Hàng Bia Hơi Hải Xồm,food,Quận Ba Đình,5 Phan Kế Bính,Y,,21.0344004,105.811264,09:00-23:00,osm,https://www.google.com/maps/search/?api=1&query=5%20Phan%20K%E1%BA%BF%20B%C3%ADnh%2C%20Qu%E1%BA%ADn%20Ba%20%C4%90%C3%ACnh%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0344004,105.811264",https://www.openstreetmap.org/node/5485766230,Y,Y,
node/9805222030,Auden Coffee,cafe,,,N,,21.0182979,105.8368624,Mo-Su 09:00-22:00,osm,https://www.google.com/maps/search/?api=1&query=Auden%20Coffee%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0182979,105.8368624",https://www.openstreetmap.org/node/9805222030,N,N,đóng vĩnh viễn
node/11663157215,Yellow holic,cafe,,,N,,21.0323254,105.8516135,"Mo-Th 07:00-22:30; Sa, Su 07:00-23:00",osm,https://www.google.com/maps/search/?api=1&query=Yellow%20holic%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0323254,105.8516135",https://www.openstreetmap.org/node/11663157215,N,N,đóng vĩnh viễn
way/858242837,Ohlala Beer Garden,food,Đống Đa,10 Phố Phạm Ngọc Thạch,Y,,21.0078716,105.8336313,Mo-Su 17:00-02:00,osm,https://www.google.com/maps/search/?api=1&query=10%20Ph%E1%BB%91%20Ph%E1%BA%A1m%20Ng%E1%BB%8Dc%20Th%E1%BA%A1ch%2C%20%C4%90%E1%BB%91ng%20%C4%90a%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0078716,105.8336313",https://www.openstreetmap.org/way/858242837,Y,Y,
node/9805222034,Tiệm Cà Pháo,cafe,Ba Đình,103/D6 Trần Huy Liệu,Y,,21.0266169,105.820901,Mo-Su 07:00-23:00,osm,https://www.google.com/maps/search/?api=1&query=103/D6%20Tr%E1%BA%A7n%20Huy%20Li%E1%BB%87u%2C%20Ba%20%C4%90%C3%ACnh%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0266169,105.820901",https://www.openstreetmap.org/node/9805222034,N,N,không thấy quán này đâu cả 
node/6195187685,Hidden Gem,cafe,,Phố Hàng Tre,Y,,21.0335894,105.855029,Mo-Su 08:00-23:00,osm,https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%91%20H%C3%A0ng%20Tre%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=21.0335894,105.855029",https://www.openstreetmap.org/node/6195187685,N,N,
node/5190836084,Phở Cười,food,,Giai Phong,Y,,20.9938019,105.840708,Mo-Su 07:30-12:00,osm,https://www.google.com/maps/search/?api=1&query=Giai%20Phong%2C%20H%C3%A0%20N%E1%BB%99i,"https://www.google.com/maps/search/?api=1&query=20.9938019,105.840708",https://www.openstreetmap.org/node/5190836084,N,N,
